ARPA Station,Comune,ARPA Pollutants,Proximity Found,Proximityping Networks,Proximityping Station Names,Min Distance (km)
Milano v.Marche,Milano,"NO2, CO, Benzene, PM10, PM2.5",No,,,-
Sesto San Giovanni v. Cesare da Sesto,Sesto San Giovanni,"NO2, CO",Yes,Sensor.Community,29449312255,1.1
Rho via Buon Gesù,Rho,NO2,No,,,-
Turbigo,Turbigo,NO2,No,,,-
Milano Verziere,Milano,"NO2, O3, PM10",Yes,"SmartCitizenKit, AirGradient","Milano, CAL 001",0.6
Cinisello Balsamo v.Lincoln,Cinisello Balsamo,NO2,Yes,Sensor.Community,29449311320,1.04
Pioltello Limito,Pioltello,"NO2, O3",No,,,-
Milano v.Liguria,Milano,NO2,No,,,-
Cormano v. Edison,Cormano,"NO2, O3",No,,,-
Motta Visconti v. De Gasperi,Motta Visconti,"NO2, O3, SO2",No,,,-
Magenta v. F. Turati,Magenta,NO2,No,,,-
Milano v.Senato,Milano,"NO2, CO, Benzene",Yes,SmartCitizenKit,CAL 001,1.09
Arconate v. De Gasperi,Arconate,"NO2, O3, CO",No,,,-
San Giuliano Milanese via Milano,San Giuliano Milanese,"NO2, CO",No,,,-
Cassano d'Adda 2-v.Milano,Cassano d'Adda,NO2,No,,,-
Milano Pascal Città Studi,Milano,"NO2, SO2, O3, Benzene",Yes,"Sensor.Community, SmartCitizenKit","SaliuA0A6, 29449313813, 29449304426",0.26
